Saison,Âge,Équipe,Comp,Titulaire,Min,Buts_x,PD_x,B-PénM,PénM_x,PénT_x,PrgC_x,PrgP_x,PrgR,Buts_y,Tirs_x,TC,TC%,Tir/90,TC/90,B/Tir,B/TC,Dist,CF,PénM_y,PénT_y,Touches,SurfRépDéf,ZDéf_x,MilTer_x,ZOff_x,SurfRépOff,Action de jeu,Att_x,Succ,Succ%,Tkld,Tkld%,Balle au pied,TotDist_x,DistBut_x,PrgC_y,1/3_x,Cmp,Att_y,Cmp%,TotDist_y,DistBut_y,PD_y,xAG,xA,A-xAG,PC,1/3_y,PPA,CntSR,PrgP_y,AMT,PassLive,PassDead,TO,Tirs_y,Ftp,Déf,AMB,Tcl,TclR,ZDéf_y,MilTer_y,ZOff_y,Tcl.1,Att,Tcl%,Balles contrées,Tirs,Passe,Int,Tcl+Int,Dég
2009-2010,18,Real Sociedad,2. La Liga 2,30,2583,6,5,6,0,0,-1.0,-1.0,-1.0,6,-1.0,22.0,-1.0,-1.0,0.77,-1.0,0.27,-1.0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2010-2011,19,Real Sociedad,1. La Liga,34,2832,7,2,7,0,0,-1.0,-1.0,-1.0,7,-1.0,24.0,-1.0,-1.0,0.76,-1.0,0.29,-1.0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2011-2012,20,Real Sociedad,1. La Liga,28,2621,7,3,7,0,1,-1.0,-1.0,-1.0,7,-1.0,33.0,-1.0,-1.0,1.13,-1.0,0.21,-1.0,-1.0,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2012-2013,21,Real Sociedad,1. La Liga,32,2848,10,3,10,0,0,-1.0,-1.0,-1.0,10,-1.0,42.0,-1.0,-1.0,1.33,-1.0,0.24,-1.0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2013-2014,22,Real Sociedad,1. Champions Lg,6,491,0,0,0,0,0,-1.0,-1.0,-1.0,0,-1.0,11.0,-1.0,-1.0,2.02,-1.0,0.0,-1.0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2013-2014,22,Real Sociedad,1. La Liga,31,2651,16,3,16,0,0,-1.0,-1.0,-1.0,16,-1.0,55.0,-1.0,-1.0,1.87,-1.0,0.29,-1.0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2014-2015,23,Atlético Madrid,1. Champions Lg,5,537,2,0,2,0,0,-1.0,-1.0,-1.0,2,-1.0,6.0,-1.0,-1.0,1.01,-1.0,0.33,-1.0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2014-2015,23,Atlético Madrid,1. La Liga,29,2451,22,1,22,0,0,-1.0,-1.0,-1.0,22,-1.0,41.0,-1.0,-1.0,1.51,-1.0,0.54,-1.0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2014-2015,23,Atlético Madrid,Copa del Rey,4,301,1,0,1,0,0,-1.0,-1.0,-1.0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2015-2016,24,Atlético Madrid,1. Champions Lg,13,1135,7,1,6,1,1,-1.0,-1.0,-1.0,7,-1.0,24.0,-1.0,-1.0,1.9,-1.0,0.25,-1.0,-1.0,1,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2015-2016,24,Atlético Madrid,1. La Liga,36,3043,22,4,21,1,2,-1.0,-1.0,-1.0,22,92.0,43.0,46.7,2.72,1.27,0.23,0.49,-1.0,-1.0,1,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.0,-1.0,-1.0
2015-2016,24,Atlético Madrid,Copa del Rey,2,191,3,0,3,0,0,-1.0,-1.0,-1.0,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2016-2017,25,Atlético Madrid,1. Champions Lg,12,1068,6,2,4,2,3,-1.0,-1.0,-1.0,6,29.0,12.0,41.4,2.44,1.01,0.14,0.33,-1.0,-1.0,2,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,-1.0,-1.0
2016-2017,25,Atlético Madrid,1. La Liga,36,3053,16,7,16,0,2,-1.0,-1.0,-1.0,16,88.0,41.0,46.6,2.59,1.21,0.18,0.39,-1.0,-1.0,0,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,-1.0,-1.0
2016-2017,25,Atlético Madrid,Copa del Rey,5,423,4,2,4,0,0,-1.0,-1.0,-1.0,4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2017-2018,26,Atlético Madrid,1. Champions Lg,6,529,2,2,1,1,1,11.0,21.0,52.0,2,17.0,4.0,23.5,2.89,0.68,0.06,0.25,20.5,3.0,1,1,292.0,3.0,25.0,133.0,143.0,17.0,291.0,7.0,5.0,71.4,2.0,28.6,159.0,738.0,361.0,11.0,16.0,195.0,241.0,80.9,2602.0,622.0,2,1.2,0.3,0.8,6.0,14.0,2.0,0.0,21.0,16.0,10.0,2.0,1.0,2.0,1.0,0.0,1.0,6.0,4.0,1.0,5.0,0.0,1.0,1.0,100.0,4.0,0.0,4.0,2.0,8.0,2.0
2017-2018,26,Atlético Madrid,1. La Liga,30,2519,19,9,17,2,2,67.0,125.0,185.0,19,70.0,38.0,54.3,2.5,1.36,0.24,0.45,18.0,8.0,2,2,1322.0,21.0,145.0,596.0,601.0,102.0,1320.0,46.0,28.0,60.9,18.0,39.1,764.0,4324.0,2096.0,67.0,57.0,809.0,1080.0,74.9,12542.0,3324.0,9,6.8,4.7,2.2,44.0,69.0,44.0,1.0,125.0,98.0,66.0,8.0,10.0,4.0,8.0,2.0,17.0,36.0,24.0,6.0,23.0,7.0,10.0,30.0,33.3,20.0,1.0,19.0,10.0,46.0,14.0
2017-2018,26,Atlético Madrid,2. Europa Lg,7,631,6,3,6,0,0,22.0,22.0,53.0,6,29.0,16.0,55.2,4.14,2.28,0.21,0.38,19.1,4.0,0,0,403.0,6.0,59.0,152.0,201.0,33.0,403.0,15.0,11.0,73.3,4.0,26.7,237.0,1500.0,841.0,22.0,16.0,237.0,314.0,75.5,3223.0,843.0,3,1.7,1.2,1.3,13.0,16.0,7.0,2.0,22.0,34.0,15.0,5.0,5.0,4.0,5.0,0.0,8.0,10.0,6.0,1.0,6.0,3.0,3.0,17.0,17.6,8.0,1.0,7.0,8.0,18.0,1.0
2017-2018,26,Atlético Madrid,Copa del Rey,2,183,2,0,2,0,0,-1.0,-1.0,-1.0,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2018-2019,27,Atlético Madrid,1. Champions Lg,8,720,4,3,4,0,0,22.0,29.0,66.0,4,22.0,11.0,50.0,2.75,1.37,0.18,0.36,18.0,2.0,0,0,416.0,10.0,40.0,147.0,234.0,32.0,416.0,15.0,6.0,40.0,9.0,60.0,225.0,1198.0,573.0,22.0,15.0,247.0,353.0,70.0,3705.0,850.0,3,1.7,1.7,1.3,13.0,22.0,14.0,1.0,29.0,28.0,22.0,2.0,1.0,2.0,1.0,0.0,4.0,9.0,7.0,6.0,1.0,2.0,3.0,10.0,30.0,3.0,0.0,3.0,4.0,13.0,7.0
