Team Name,Team URL
Monaco,https://fbref.com/en/squads/fd6114db/Monaco-Stats/
Paris S-G,https://fbref.com/en/squads/e2d8892c/Paris-Saint-Germain-Stats/
Barcelona,https://fbref.com/en/squads/206d90db/Barcelona-Stats/
Bayern Munich,https://fbref.com/en/squads/054efa67/Bayern-Munich-Stats/
Liverpool,https://fbref.com/en/squads/822bd0ba/Liverpool-Stats/
Arsenal,https://fbref.com/en/squads/18bb7c10/Arsenal-Stats/
Manchester City,https://fbref.com/en/squads/b8fd03ef/Manchester-City-Stats/
Eint Frankfurt,https://fbref.com/en/squads/f0ac8ee6/Eintracht-Frankfurt-Stats/
Real Madrid,https://fbref.com/en/squads/53a2f082/Real-Madrid-Stats/
Napoli,https://fbref.com/en/squads/d48ad4ff/Napoli-Stats/
RB Leipzig,https://fbref.com/en/squads/acbb6a5b/RB-Leipzig-Stats/
Chelsea,https://fbref.com/en/squads/cff3d9bb/Chelsea-Stats/
Aston Villa,https://fbref.com/en/squads/8602292d/Aston-Villa-Stats/
Juventus,https://fbref.com/en/squads/e0652b02/Juventus-Stats/
Marseille,https://fbref.com/en/squads/5725cc7b/Marseille-Stats/
Atlético Madrid,https://fbref.com/en/squads/db3b9613/Atletico-Madrid-Stats/
Inter,https://fbref.com/en/squads/d609edc0/Internazionale-Stats/
Freiburg,https://fbref.com/en/squads/a486e511/Freiburg-Stats/
Villarreal,https://fbref.com/en/squads/2a8183b3/Villarreal-Stats/
Lille,https://fbref.com/en/squads/cb188c0c/Lille-Stats/
Udinese,https://fbref.com/en/squads/04eea015/Udinese-Stats/
Milan,https://fbref.com/en/squads/dc56fe14/Milan-Stats/
Leverkusen,https://fbref.com/en/squads/c7a9f859/Bayer-Leverkusen-Stats/
Reims,https://fbref.com/en/squads/7fdd64e0/Reims-Stats/
Union Berlin,https://fbref.com/en/squads/7a41008f/Union-Berlin-Stats/
Heidenheim,https://fbref.com/en/squads/18d9d2a7/Heidenheim-Stats/
Athletic Club,https://fbref.com/en/squads/2b390eca/Athletic-Club-Stats/
Newcastle Utd,https://fbref.com/en/squads/b2b47a98/Newcastle-United-Stats/
Tottenham,https://fbref.com/en/squads/361ca564/Tottenham-Hotspur-Stats/
Lens,https://fbref.com/en/squads/fd4e0f7d/Lens-Stats/
Empoli,https://fbref.com/en/squads/a3d88bd8/Empoli-Stats/
Lazio,https://fbref.com/en/squads/7213da33/Lazio-Stats/
Dortmund,https://fbref.com/en/squads/add600ae/Dortmund-Stats/
Osasuna,https://fbref.com/en/squads/03c57e2b/Osasuna-Stats/
Stuttgart,https://fbref.com/en/squads/598bc722/Stuttgart-Stats/
Fulham,https://fbref.com/en/squads/fd962109/Fulham-Stats/
Torino,https://fbref.com/en/squads/105360fe/Torino-Stats/
Mallorca,https://fbref.com/en/squads/2aa12281/Mallorca-Stats/
Roma,https://fbref.com/en/squads/cf74a709/Roma-Stats/
Nantes,https://fbref.com/en/squads/d7a486cd/Nantes-Stats/
Strasbourg,https://fbref.com/en/squads/c0d3eab4/Strasbourg-Stats/
Brighton,https://fbref.com/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats/
Nott'ham Forest,https://fbref.com/en/squads/e4a775cb/Nottingham-Forest-Stats/
Betis,https://fbref.com/en/squads/fc536746/Real-Betis-Stats/
Rayo Vallecano,https://fbref.com/en/squads/98e8af82/Rayo-Vallecano-Stats/
Celta Vigo,https://fbref.com/en/squads/f25da7fb/Celta-Vigo-Stats/
Atalanta,https://fbref.com/en/squads/922493f3/Atalanta-Stats/
Brentford,https://fbref.com/en/squads/cd051869/Brentford-Stats/
Nice,https://fbref.com/en/squads/132ebc33/Nice-Stats/
Mainz 05,https://fbref.com/en/squads/a224b06a/Mainz-05-Stats/
Werder Bremen,https://fbref.com/en/squads/62add3bf/Werder-Bremen-Stats/
Hellas Verona,https://fbref.com/en/squads/0e72edf2/Hellas-Verona-Stats/
Alavés,https://fbref.com/en/squads/8d6fd021/Alaves-Stats/
Wolfsburg,https://fbref.com/en/squads/4eaa11d7/Wolfsburg-Stats/
Fiorentina,https://fbref.com/en/squads/421387cf/Fiorentina-Stats/
Bologna,https://fbref.com/en/squads/1d8099f8/Bologna-Stats/
Manchester Utd,https://fbref.com/en/squads/19538871/Manchester-United-Stats/
Lyon,https://fbref.com/en/squads/d53c0b06/Lyon-Stats/
Augsburg,https://fbref.com/en/squads/0cdc4311/Augsburg-Stats/
West Ham,https://fbref.com/en/squads/7c21e445/West-Ham-United-Stats/
Bournemouth,https://fbref.com/en/squads/4ba7cbea/Bournemouth-Stats/
Como,https://fbref.com/en/squads/28c9c3cd/Como-Stats/
Sevilla,https://fbref.com/en/squads/ad2be733/Sevilla-Stats/
Girona,https://fbref.com/en/squads/9024a00a/Girona-Stats/
Espanyol,https://fbref.com/en/squads/a8661628/Espanyol-Stats/
Rennes,https://fbref.com/en/squads/b3072e00/Rennes-Stats/
Real Sociedad,https://fbref.com/en/squads/e31d1cd9/Real-Sociedad-Stats/
Gladbach,https://fbref.com/en/squads/32f3ee20/Monchengladbach-Stats/
Brest,https://fbref.com/en/squads/fb08dbb3/Brest-Stats/
Le Havre,https://fbref.com/en/squads/5c2737db/Le-Havre-Stats/
Saint-Étienne,https://fbref.com/en/squads/d298ef2c/Saint-Etienne-Stats/
Getafe,https://fbref.com/en/squads/7848bd64/Getafe-Stats/
Leganés,https://fbref.com/en/squads/7c6f2c78/Leganes-Stats/
Leicester City,https://fbref.com/en/squads/a2d435b3/Leicester-City-Stats/
Auxerre,https://fbref.com/en/squads/5ae09109/Auxerre-Stats/
Parma,https://fbref.com/en/squads/eab4234c/Parma-Stats/
Cagliari,https://fbref.com/en/squads/c4260e09/Cagliari-Stats/
Toulouse,https://fbref.com/en/squads/3f8c4b5f/Toulouse-Stats/
Everton,https://fbref.com/en/squads/d3fd31cc/Everton-Stats/
Lecce,https://fbref.com/en/squads/ffcbe334/Lecce-Stats/
Genoa,https://fbref.com/en/squads/658bf2de/Genoa-Stats/
St. Pauli,https://fbref.com/en/squads/54864664/St-Pauli-Stats/
Valencia,https://fbref.com/en/squads/dcc91a7b/Valencia-Stats/
Montpellier,https://fbref.com/en/squads/281b0e73/Montpellier-Stats/
Hoffenheim,https://fbref.com/en/squads/033ea6b8/Hoffenheim-Stats/
Venezia,https://fbref.com/en/squads/af5d5982/Venezia-Stats/
Ipswich Town,https://fbref.com/en/squads/b74092de/Ipswich-Town-Stats/
Valladolid,https://fbref.com/en/squads/17859612/Valladolid-Stats/
Monza,https://fbref.com/en/squads/21680aa4/Monza-Stats/
Crystal Palace,https://fbref.com/en/squads/47c64c55/Crystal-Palace-Stats/
Angers,https://fbref.com/en/squads/69236f98/Angers-Stats/
Las Palmas,https://fbref.com/en/squads/0049d422/Las-Palmas-Stats/
Holstein Kiel,https://fbref.com/en/squads/2ac661d9/Holstein-Kiel-Stats/
Bochum,https://fbref.com/en/squads/b42c6323/Bochum-Stats/
Southampton,https://fbref.com/en/squads/33c895d4/Southampton-Stats/
Wolves,https://fbref.com/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats/
